mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_rolloff_mean,spectral_rolloff_std,rms_energy_mean,rms_energy_std,zero_crossing_rate_mean,zero_crossing_rate_std,spectral_centroid_mean,spectral_centroid_std,chroma_mean,chroma_std,spectral_bandwidth_mean,spectral_bandwidth_std,filename,member,phrase,augmentation,is_authorized
-308.3265896216323,51.217112631696466,43.11437240081897,52.57227106093546,18.906664918875038,31.693394300928286,11.775189991374683,18.006500051902655,6.795892997840075,15.93969849894155,-0.8685032152774852,13.471101060765706,-0.48741478061509536,10.682506767921685,1.625144457772852,6.088957391504128,0.37522399092208414,7.513777810203313,-2.1597383479695966,7.648442621842352,-2.214629162630931,7.30899723767238,0.004256115321021762,6.878856030510605,0.17556678600739772,5.661117600943304,17437.79296875,3892.3121349298344,0.027465586,0.027788058,0.26535237630208336,0.20245873458396244,8760.30919321434,3216.0187400892596,0.6113547486966726,0.28265247123700554,6994.060798018234,587.5553117566741,Aubert confirm transaction_Aubert confirm transaction_noise.wav,Aubert confirm transaction,Aubert confirm transaction,noise,1
-537.91455078125,113.7812271118164,146.31790161132812,77.3346939086914,5.354369163513184,49.646339416503906,20.841039657592773,31.507526397705078,18.821483612060547,20.018383026123047,-4.54569673538208,24.038097381591797,1.7335799932479858,14.35901927947998,4.040332794189453,11.924188613891602,4.12305212020874,12.16639518737793,-4.444525241851807,8.559318542480469,-7.217897891998291,10.746291160583496,5.333287239074707,8.450340270996094,3.7982020378112793,7.357266426086426,3010.9375,2193.623404912093,0.017719667,0.020528177,0.04217122395833333,0.038758016051144276,1773.5791344201652,1169.116907760831,0.5219220519065857,0.2813185751438141,2213.83525493002,1197.672408608371,Aubert confirm transaction_Aubert confirm transaction_volume_low.wav,Aubert confirm transaction,Aubert confirm transaction,volume_low,1
-508.5923156738281,115.05288696289062,96.45951080322266,74.6690673828125,8.819092750549316,34.2945556640625,20.442119598388672,28.48921775817871,11.121912002563477,22.312496185302734,2.434461832046509,11.821555137634277,9.982933044433594,15.671692848205566,0.7541441321372986,13.037881851196289,-4.470617771148682,10.626193046569824,-3.80059552192688,9.816425323486328,-0.28268754482269287,8.097599983215332,2.261422872543335,10.431182861328125,-0.28035908937454224,11.283109664916992,4059.1189600840335,2027.2509585080848,0.020320423,0.034677885,0.05799057904411765,0.05582635977086702,2234.2773764631297,1243.3165799706685,0.5395187735557556,0.29166945815086365,2513.7267567814947,987.0583193782545,Aubert yes approve_Aubert yes approve_pitch_up.wav,Aubert yes approve,Aubert yes approve,pitch_up,1
-517.9088134765625,115.0453109741211,105.34681701660156,76.54396057128906,9.46114730834961,37.31594467163086,20.300180435180664,26.267873764038086,16.07329559326172,21.923784255981445,2.4739294052124023,13.930856704711914,11.307708740234375,16.61016845703125,6.287187099456787,9.130882263183594,-1.7707878351211548,10.958159446716309,-4.2810258865356445,9.318912506103516,-2.8735148906707764,7.163290023803711,2.5293376445770264,7.983386516571045,1.3576358556747437,12.643608093261719,3700.757575757576,1899.7230582006616,0.020488592,0.03355972,0.05019432607323232,0.04667306578501414,2070.6896461782508,1154.3493085260343,0.5605534911155701,0.2927582263946533,2544.3042558435595,1112.3084134548294,Aubert yes approve_Aubert yes approve_faster.wav,Aubert yes approve,Aubert yes approve,faster,1
-313.9387437118197,57.105178019065896,33.42365531046118,52.77839584256747,11.796496941692796,23.975710072362098,11.633794168073306,19.609414270129264,8.46110017290489,17.623667670559815,1.7911703949744537,9.947559955772142,3.026155906325803,11.598489214355466,1.8821909302411879,6.67639266115251,-2.367358115123478,9.223990083293293,-2.9648063556957878,8.070620746670443,-3.0776599579917585,6.334116358334788,-2.16113712363927,6.347363085792337,-1.156177396666731,8.060718995216105,17117.056197478993,5099.08519548134,0.030545885,0.04491418,0.34044692095588236,0.1965533646825442,9365.5390897225,3478.6376652909926,0.6502061123907846,0.2864225872405229,6711.547762596893,681.706926035236,Aubert yes approve_Aubert yes approve_noise.wav,Aubert yes approve,Aubert yes approve,noise,1
-520.9052124023438,114.68733978271484,104.8492202758789,76.4661636352539,10.621883392333984,38.93893814086914,19.859657287597656,26.841554641723633,14.999932289123535,22.402923583984375,2.128425121307373,14.624893188476562,10.899430274963379,16.474708557128906,5.9060797691345215,9.178685188293457,-1.733492374420166,11.141777038574219,-4.187361240386963,8.998029708862305,-3.0045106410980225,7.209122657775879,2.3036129474639893,7.776309013366699,1.3711947202682495,12.297209739685059,3693.1788340336134,1937.8103128872078,0.019438146,0.032482296,0.0506355862657563,0.04972873861825657,2105.802269826768,1194.1970727003247,0.5708138942718506,0.29159051179885864,2562.173607436895,1115.341561616699,Aubert yes approve_Aubert yes approve_volume_low.wav,Aubert yes approve,Aubert yes approve,volume_low,1
-466.7616271972656,110.4561538696289,112.19837188720703,39.009822845458984,1.6079179048538208,35.00271224975586,31.98155403137207,23.82074546813965,-9.753612518310547,20.628971099853516,22.595497131347656,11.55495548248291,0.9216693639755249,9.565403938293457,3.019778251647949,9.072891235351562,-7.887832164764404,8.822754859924316,9.272077560424805,8.896888732910156,-8.429997444152832,7.978861331939697,12.237013816833496,10.272237777709961,-12.078397750854492,7.1939191818237305,8596.38702681388,3646.2566235913196,0.010825447,0.010112059,0.08912750147870663,0.09286990417447348,3965.7995158621943,1821.6695065702415,0.4902554154396057,0.299988716840744,4462.231762174325,930.9703462635883,Jade-Confirm transaction_Jade-Confirm transaction_pitch_up.wav,Jade-Confirm transaction,Jade-Confirm transaction,pitch_up,1
-474.5769348144531,110.56255340576172,121.48192596435547,38.32669448852539,-4.233966827392578,39.067893981933594,39.50044250488281,23.312232971191406,-14.083050727844238,21.125308990478516,22.71152114868164,13.46622085571289,2.2179880142211914,9.276490211486816,8.726286888122559,7.907695770263672,-9.441461563110352,9.105613708496094,10.467998504638672,8.693388938903809,-7.466090679168701,7.3192853927612305,7.483199119567871,7.289960861206055,0.04835047945380211,7.095078468322754,7812.411221590909,3239.953042645484,0.009811725,0.009430888,0.08136726148200757,0.07929394900313771,3612.314705585733,1575.6133621883494,0.5153748393058777,0.2907096743583679,4071.8824050515736,890.3206998692889,Jade-Confirm transaction_Jade-Confirm transaction_faster.wav,Jade-Confirm transaction,Jade-Confirm transaction,faster,1
-305.55719972878916,43.601575256997194,35.07889471994722,31.767606535351437,15.51317293875298,25.33510679922879,16.8291048704664,13.946475381080488,6.815992894100134,13.460831172916611,7.505349025936984,9.851198132753426,8.709760497070782,7.289476752730957,1.9030704308013882,6.0161959551536786,-0.35151619165280207,6.1917911190687285,1.0630758332178234,6.2299834976997115,-0.8761497742617371,5.762643397539196,2.3402432208167645,6.377111732852445,0.8786065934708868,5.9435085850862714,18293.301458990536,2770.9410998416656,0.016950987,0.012917029,0.2838408172318612,0.16281369012939417,9458.249245325758,2119.7225864907105,0.5942666110796045,0.29175429927661983,7085.905682535867,814.0669595214679,Jade-Confirm transaction_Jade-Confirm transaction_noise.wav,Jade-Confirm transaction,Jade-Confirm transaction,noise,1
-475.69854736328125,110.50231170654297,124.48126983642578,38.782958984375,-4.6119704246521,39.36742401123047,41.20868682861328,22.94911003112793,-13.323713302612305,20.473342895507812,25.05135726928711,13.567228317260742,1.348093032836914,8.938210487365723,9.907736778259277,7.52890682220459,-10.021332740783691,9.306413650512695,10.034870147705078,8.931912422180176,-7.763853073120117,7.091785907745361,7.7174391746521,7.824453353881836,-0.1636544167995453,7.001832485198975,7555.451498422713,3253.2110451122808,0.01057192,0.009923551,0.07541095721608833,0.08242861677140101,3472.2521809540726,1629.6588150362109,0.5274649858474731,0.29839035868644714,3989.0845311709536,951.8273114094628,Jade-Confirm transaction_Jade-Confirm transaction_volume_low.wav,Jade-Confirm transaction,Jade-Confirm transaction,volume_low,1
